respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.863208971,0.782484132
26708,0.92932593,0.908590034
26709,0.615786661,0.27599
26710,0.567971075,0.110939967
26711,0.776209618,0.598964554
26712,0.722586669,0.267820685
26713,0.686168963,0.485771247
26714,0.876607073,0.744582635
26715,0.964789281,0.851163251
26716,0.850804623,0.214130964
26717,0.972326597,0.635043958
26718,0.776209618,0.688568074
26719,0.936957362,0.156375613
26720,0.880908833,0.77479043
26721,0.531533672,0.458571353
26722,0.951302694,0.861921872
26723,0.298596758,0.14863606
26724,0.880908833,0.417374179
26725,0.92932593,0.819354141
26726,0.973389829,0.951060601
26727,0.754957558,0.205874541
26728,0.769569328,0.512971355
26729,0.920291282,0.805485502
26730,0.920291282,0.805485502
26731,0.988149546,0.706144696
26732,0.876716164,0.873177034
26733,0.247102113,0.089504631
26734,0.203162736,0.597342836
26735,0.865227989,0.514656785
26736,0.892788627,0.859343246
26737,0.943392778,0.906214555
26738,0.375189058,0.101655701
26739,0.892788627,0.804956412
26740,0.836706112,0.864257738
26741,0.817011223,0.090055983
26742,0.892788627,0.653170174
26743,0.966135569,0.584255365
26744,0.913459104,0.385594557
26745,0.874793383,0.043282692
26746,0.892788627,0.736000631
26747,0.892788627,0.653170174
26748,0.831471132,0.907746016
26749,0.923476355,0.418247044
26750,0.406139065,0.110276252
26751,0.769569328,0.512971355
26752,0.949397608,0.94493236
26753,0.769569328,0.324610283
26754,0.954966712,0.832929177
26755,0.915699915,0.615158974
26756,0.98278717,0.959002096
26757,0.406139065,0.373133064
26758,0.602342294,0.214748057
26759,0.960093431,0.839257589
26760,0.984680946,0.983998435
26761,0.81574231,0.240059349
26762,0.942776682,0.337876403
26763,0.223706204,0.057161274
26764,0.172079408,0.082102954
26765,0.965195394,0.520517491
26766,0.818148257,0.853218894
26767,0.269798477,0.361566545
26768,0.976384123,0.635093782
26769,0.819865813,0.841457019
26770,0.82876204,0.213599942
26771,0.92932593,0.67423803
26772,0.911155715,0.699864735
26773,0.976384123,0.442646225
26774,0.988058657,0.733519446
26775,0.865227989,0.514656785
26776,0.470083144,0.610125819
26777,0.854901464,0.071235155
26778,0.745700529,0.490215677
26779,0.850804623,0.566827961
26780,0.796758793,0.039598791
26781,0.96448093,0.616390771
26782,0.920291282,0.653933994
26783,0.920291282,0.653933994
26784,0.865227989,0.417355982
26785,0.630349617,0.515571761
26786,0.818148257,0.726216815
26787,0.893892646,0.537369715
26788,0.936957362,0.156375613
26789,0.981273328,0.787583571
26790,0.920291282,0.653933994
26791,0.920291282,0.859750507
26792,0.722586669,0.267820685
26793,0.889252735,0.149921279
26794,0.247102113,0.177243349
26795,0.949035344,0.091034119
26796,0.943392778,0.934658095
26797,0.912845886,0.515553071
26798,0.700635169,0.724873315
26799,0.700635169,0.852371924
26800,0.938636865,0.068773241
26801,0.729196588,0.633903736
26802,0.913450516,0.855890968
26803,0.892788627,0.859343246
26804,0.92932593,0.908590034
26805,0.899000884,0.699849016
26806,0.914671989,0.155931097
26807,0.584587168,0.13704638
26808,0.769569328,0.512971355
26809,0.184654439,0.552901725
26810,0.939074512,0.865252419
26811,0.913450516,0.897876863
26812,0.86986756,0.206714757
26813,0.744825268,0.497367106
26814,0.955790278,0.55055261
26815,0.92932593,0.819354141
26816,0.919625711,0.632677862
26817,0.865227989,0.326091205
26818,0.865227989,0.699139913
26819,0.503717269,0.431853782
26820,0.892788627,0.736000631
26821,0.880908833,0.610876867
26822,0.810305101,0.278016815
26823,0.749781274,0.509350804
26824,0.950139451,0.348000104
26825,0.70276108,0.24765436
26826,0.922377999,0.337122124
26827,0.899000884,0.699849016
26828,0.769569328,0.324610283
26829,0.447815657,0.068127923
26830,0.949956534,0.430351681
26831,0.911155715,0.418194736
26832,0.817011223,0.243035442
26833,0.986678766,0.575040842
26834,0.737096153,0.298492633
26835,0.683691972,0.098552956
26836,0.880908833,0.417374179
26837,0.943857786,0.984763535
26838,0.892788627,0.559891727
26839,0.936873725,0.753632713
26840,0.892788627,0.859343246
26841,0.734844636,0.239430842
26842,0.920291282,0.73665558
26843,0.949397608,0.982353149
26844,0.956511651,0.441742653
26845,0.923476355,0.24702635
26846,0.943398579,0.317835559
26847,0.540590244,0.859343246
26848,0.951307727,0.308236401
26849,0.964081851,0.722621397
26850,0.304661811,0.250404275
26851,0.964789281,0.948855245
26852,0.96053501,0.826604324
26853,0.565477196,0.686393721
26854,0.966135569,0.87095062
26855,0.406139065,0.155035353
26856,0.845924242,0.928201653
26857,0.630682854,0.840102227
26858,0.947554289,0.654331743
26859,0.892788627,0.859343246
26860,0.945636499,0.976180972
26861,0.943392778,0.906214555
26862,0.865227989,0.699139913
26863,0.769569328,0.512971355
26864,0.540590244,0.653170174
26865,0.98278717,0.959002096
26866,0.769569328,0.324610283
26867,0.904617495,0.81885429
26868,0.503717269,0.13664791
26869,0.865227989,0.514656785
26870,0.450051794,0.149491859
26871,0.934443063,0.948526832
26872,0.901428653,0.481244795
26873,0.777319794,0.154593949
26874,0.892788627,0.736000631
26875,0.37790917,0.093644468
26876,0.913450516,0.92864999
26877,0.917471624,0.812138175
26878,0.79372672,0.609271896
26879,0.982590061,0.974309748
26880,0.916590046,0.761813445
26881,0.964789281,0.851163251
26882,0.92932593,0.819354141
26883,0.920291282,0.73665558
26884,0.892788627,0.804956412
26885,0.886562816,0.307127382
26886,0.896592807,0.316374528
26887,0.406139065,0.110276252
26888,0.172079408,0.163892068
26889,0.945510961,0.885098316
26890,0.863208971,0.621434222
26891,0.615786661,0.455151125
26892,0.912538749,0.238764387
26893,0.92932593,0.819354141
26894,0.769569328,0.697718848
26895,0.936039099,0.223210042
26896,0.92932593,0.908590034
26897,0.954297974,0.616754973
26898,0.899000884,0.699849016
26899,0.904617495,0.908309469
26900,0.892788627,0.736000631
26901,0.986678766,0.747818194
26902,0.817011223,0.090055983
26903,0.622550254,0.873457633
26904,0.939074512,0.572117263
26905,0.624213664,0.23821795
26906,0.920291282,0.560722818
26907,0.984913746,0.370914096
26908,0.896592807,0.316374528
26909,0.955832891,0.743134602
26910,0.79985192,0.502236642
26911,0.892788627,0.804956412
26912,0.538696279,0.065653268
26913,0.330325487,0.28608939
26914,0.892788627,0.859343246
26915,0.696590362,0.190900074
26916,0.920291282,0.73665558
26917,0.991664951,0.977608528
26918,0.615786661,0.27599
26919,0.769569328,0.324610283
26920,0.939074512,0.812652318
26921,0.889252735,0.149921279
26922,0.95201802,0.223260296
26923,0.939074512,0.572117263
26924,0.615786661,0.36073862
26925,0.850804623,0.373872138
26926,0.624933834,0.65396571
26927,0.615786661,0.27599
26928,0.923476355,0.611729517
26929,0.893892646,0.847984691
26930,0.386843392,0.127786787
26931,0.892788627,0.653170174
26932,0.934685417,0.162135879
